uczen;klasa;frekwencja_proc;zajecia_odbyte;zajecia_planowane;data_oceny;poziom_wsparcia
Uczen 01;1a;94,5;38;40;2026-01-15;II
Uczen 02;1a;88,0;35;40;2026-01-15;II
Uczen 03;1a;67,5;27;40;2026-01-15;III
Uczen 04;1b;97,5;39;40;2026-01-16;I
Uczen 05;1b;91,0;36;40;2026-01-16;II
Uczen 06;1b;62,5;25;40;2026-01-16;III
Uczen 07;2a;100,0;40;40;2026-01-17;I
Uczen 08;2a;85,0;34;40;2026-01-17;II
Uczen 09;2a;92,5;37;40;2026-01-17;I
Uczen 10;2b;58,0;23;40;2026-01-18;III
Uczen 11;2b;96,0;38;40;2026-01-18;I
Uczen 12;2b;90,0;36;40;2026-01-18;II
